Hon Tony Abbott: Member for Warringah, New South Wales
Hon Anthony Albanese: Member for Grayndler, New South Wales
Mr John Alexander OAM: Member for Bennelong, New South Wales
Hon Karen Andrews: Member for McPherson, Queensland
Hon Kevin Andrews: Member for Menzies, Victoria
Mr Adam Bandt: Member for Melbourne, Victoria
Ms Julia Banks: Member for Chisholm, Victoria
Hon Sharon Bird: Member for Cunningham, New South Wales
Hon Julie Bishop: Member for Curtin, Western Australia
Hon Chris Bowen: Member for McMahon, New South Wales
Mr Andrew Broad: Member for Mallee, Victoria
Mr Russell Broadbent: Member for McMillan, Victoria
Ms Gai Brodtmann: Member for Canberra, Australian Capital Territory
Mr Scott Buchholz: Member for Wright, Queensland
Hon Tony Burke: Member for Watson, New South Wales
Hon Linda Burney: Member for Barton, New South Wales
Hon Mark Butler: Member for Port Adelaide, South Australia
Ms Terri Butler: Member for Griffith, Queensland
Hon Anthony Byrne: Member for Holt, Victoria
Dr Jim Chalmers: Member for Rankin, Queensland
Mr Nick Champion: Member for Wakefield, South Australia
Hon Darren Chester: Member for Gippsland, Victoria
Ms Lisa Chesters: Member for Bendigo, Victoria
Mr George Christensen: Member for Dawson, Queensland
Hon Steven Ciobo: Member for Moncrieff, Queensland
Hon Jason Clare: Member for Blaxland, New South Wales
Ms Sharon Claydon: Member for Newcastle, New South Wales
Mr David Coleman: Member for Banks, New South Wales
Hon Julie Collins: Member for Franklin, Tasmania
Mr Pat Conroy: Member for Charlton, New South Wales
Mr Mark Coulton: Member for Parkes, New South Wales
Mr Chris Crewther: Member for Dunkley, Victoria
Hon Michael Danby: Member for Melbourne Ports, Victoria
Mr Milton Dick: Member for Oxley, Queensland
Hon Mark Dreyfus QC: Member for Isaacs, Victoria
Hon Peter Dutton: Member for Dickson, Queensland
Hon Justine Elliot: Member for Richmond, New South Wales
Hon Kate Ellis: Member for Adelaide, South Australia
Hon Warren Entsch: Member for Leichhardt, Queensland
Mr Trevor Evans: Member for Brisbane, Queensland
Mr Jason Falinski: Member for Mackellar, New South Wales
Hon David Feeney: Member for Batman, Victoria
Hon Joel Fitzgibbon: Member for Hunter, New South Wales
Hon Paul Fletcher: Member for Bradfield, New South Wales
Mr Mike Freelander: Member for Macarthur, New South Wales
Hon Josh Frydenberg: Member for Kooyong, Victoria
Mr Andrew Gee: Member for Calare, New South Wales
Mr Steve Georganas: Member for Hindmarsh, South Australia
Mr Andrew Giles: Member for Scullin, Victoria
The Hon Dr David Gillespie: Member for Lyne, New South Wales
Mr Ian Goodenough: Member for Moore, Western Australia
Mr Luke Gosling: Member for Solomon, Northern Territory
Mr Tim Hammond: Member for Perth, Western Australia
Mr Ross Hart: Member for Bass, Tasmania
Hon Luke Hartsuyker: Member for Cowper, New South Wales
Mr Andrew Hastie: Member for Canning, Western Australia
Hon Alex Hawke: Member for Mitchell, New South Wales
Mr Chris Hayes: Member for Fowler, New South Wales
Ms Sarah Henderson: Member for Corangamite, Victoria
Mr Julian Hill: Member for Bruce, Victoria
Mr Kevin Hogan: Member for Page, New South Wales
Mr Luke Howarth: Member for Petrie, Queensland
Hon Greg Hunt: Member for Flinders, Victoria
Hon Ed Husic: Member for Chifley, New South Wales
Mr Steve Irons: Member for Swan, Western Australia
Mr Ewen Jones: Member for Herbert, Queensland
Mr Stephen Jones: Member for Throsby, New South Wales
Hon Barnaby Joyce: Member for New England, New South Wales
Hon Bob Katter: Member for Kennedy, Queensland
Ms Justine Keay: Member for Braddon, Tasmania
Hon Michael Keenan: Member for Stirling, Western Australia
